,name,start_station_id,longitude,latitude,cell,capacity
222,SLOTTSPARKEN ØST,562,10.732128000002808,59.91748500001538,14,40
223,SOFIENBERGGATA,514,10.769989199996047,59.9212062999807,22,12
224,SOFIENBERGPARKEN NORD,598,10.766171000009585,59.923229000030915,21,33
225,SOFIENBERGPARKEN NORDVEST,493,10.761585799992053,59.924363899978715,12,30
226,SOFIENBERGPARKEN SØR,455,10.761750300001898,59.9223370000204,21,12
227,SOGNSVEIEN,575,10.732526713675993,59.94744842799911,17,30
228,SOMMERFRYDHAGEN,485,10.77607199999919,59.91145300002255,31,21
229,SOTAHJØRNET,610,10.79144820000283,59.90998220001147,24,20
230,SPIKERSUPPA VEST,430,10.735845037229089,59.913757774322235,41,42
231,SPIKERSUPPA ØST,625,10.737663000005101,59.91335999998366,41,42
232,ST HANSHAUGEN,422,10.74054200000462,59.923702999975404,38,660
233,ST HANSHAUGEN PARK NORD,470,10.743533816564348,59.92978707433634,15,15
234,ST HANSHAUGEN PARK SØR,432,10.73990899999806,59.924820999991645,38,12
235,ST HANSHAUGEN PARK VEST,391,10.738463399994272,59.926870600030725,38,20
236,ST OLAVS GATE,537,10.738608602526105,59.9179753075575,42,20
237,STAVANGERGATA,582,10.750715035622706,59.94113365144524,7,30
238,STENSGATA,382,10.73283900000217,59.92960342637342,1,9
239,STENSPARKEN,462,10.730981000000591,59.927140000029055,13,15
240,STJERNEPLASSEN,2330,10.749958763650529,59.9132331660657,11,15
241,STOCKFLETHS GATE,606,10.752102900002189,59.93397540000891,7,18
242,STORGATA,419,10.751824000001994,59.914125200008705,11,660
243,STORO STORSENTER,397,10.77382683525295,59.946705381868526,16,42
244,STORTINGSTUNELLEN,1101,10.737365277560636,59.91065301806376,41,24
245,STUDENTERLUNDEN,387,10.735453000001066,59.91458599997855,41,15
246,STUDENTPARLAMENTET,469,10.733356999997202,59.92085199999469,14,30
247,SUHMS GATE,451,10.726194999997508,59.92941900001887,18,21
248,SUKKERBITEN,464,10.753697381684598,59.9055018399351,3,31
249,SØNDRE GATE,385,10.757867000004508,59.91863200003437,5,21
250,SØRVEST FOR SLOTTSPARKEN,533,10.725315699999399,59.9152619999958,32,12
251,TANNLEGEHØYSKOLEN,416,10.74147499999902,59.93238300001026,15,15
252,THE HUB,2328,10.750910185808355,59.912522370230896,11,20
253,THERESES GATE,550,10.731035499998738,59.926146199996175,13,9
254,THOMAS HEFTYES PLASS,519,10.703904355761479,59.91856309307141,25,24
255,THUNE,429,10.68588000000177,59.9220800000083,36,21
256,TIEDEMANNSPARKEN,2340,10.793539457902584,59.92024697048753,39,25
257,TJUVHOLMEN,479,10.722508999993348,59.90946700004078,32,30
258,TORDENSKIOLDS GATE,573,10.735145737931823,59.91178383463758,41,20
259,TORGGATA,489,10.751595060166732,59.91599530888757,11,29
260,TORSHOVDALEN ØST,621,10.777573418407263,59.93284048746165,27,27
261,TORSHOVPARKEN VEST,488,10.76915000000014,59.935070000000614,16,24
262,TRELASTGATA,552,10.762591357086931,59.9079889028862,6,18
263,TRONDHEIMSVEIEN,457,10.771719200003817,59.92305770002057,22,10
264,TÅSEN SENTER,554,10.751164999997538,59.95265899998449,7,21
265,TÅSENLØKKA,517,10.748284800002976,59.94339389999166,7,660
266,TØYEN SKOLE,408,10.77397699999541,59.91494299995241,20,15
267,TØYENBEKKEN,523,10.761773600001215,59.9115944999807,6,29
268,TØYENPARKEN,377,10.777566500000713,59.91566699999427,31,29
269,UELANDS GATE,399,10.748986199995183,59.92954499998323,2,36
270,ULLEVÅL SYKEHUS,502,10.736451599995712,59.93603070004179,1,34
271,ULLEVÅLSALLÉEN,466,10.730479999998751,59.937913000001494,17,15
272,ULLEVÅLSVEIEN,518,10.739504500001072,59.924685199984836,38,18
273,ULVEN TORG,2309,10.811659064487579,59.92491182378033,26,30
274,UNIVERSITETSGATA,2337,10.737834990277397,59.91591543378443,42,15
275,URANIENBORGPARKEN,417,10.720896000003975,59.92248499998985,23,15
276,URANIENBORGVEIEN,535,10.726634000002495,59.920042099959794,13,27
277,VALKYRIEPLASSEN,459,10.718419999999464,59.928131900004274,28,12
278,VATERLANDSPARKEN,495,10.757334442691729,59.91352112565492,5,40
279,VATERLANDSPARKEN II,491,10.757319799999655,59.913645799999394,5,18
280,VESTKANTTORVET,436,10.713069099997984,59.92440310002089,35,15
281,VIA VIKA,2329,10.727170827087189,59.91271286014493,0,15
282,VIPPETANGEN VEST,452,10.74062699999854,59.90398900001155,4,30
283,VIPPETANGEN ØST,441,10.741076999999015,59.9039890000096,4,15
284,VOLVAT,524,10.703986830692175,59.93309002618586,19,21
285,VULKAN,442,10.751010000006099,59.92250999995857,34,17
286,VÅLERENGA,461,10.78685600000199,59.908576000008736,24,21
287,VÅR FRELSERS GRAVLUND,384,10.743764621872618,59.91944043984744,42,18
288,VÅR FRELSERS GRAVLUND SØR,384,10.743828999996426,59.919462999955705,42,18
289,ØKERN PORTAL,2306,10.801890966655007,59.93093395951396,26,18
290,ØKERNVEIEN,605,10.779915999999545,59.916737599997006,31,24
