,start_cell,end_cell,mean,std,scv,n,lambda,mu1,mu2,phi1
2479,49,16,0.4017222222222222,0.2341088438340884,0.33961270385537495,3,7.467846770847739,7.467846770847739,7.467846770847739,0.0
2480,49,17,0.24836206896551724,0.15465449674791085,0.3877524638747221,3,12.07913918778202,12.07913918778202,12.07913918778202,0.0
2481,49,18,0.15265366430260055,0.19237191849220175,1.5880672338135715,2,13.101552518486965,13.101552518486965,4.124999319778485,0.6851518692950398
2482,49,19,0.2525362318840579,0.1467134410499153,0.3375144837546935,3,11.879483500717365,11.879483500717365,11.879483500717365,0.0
2483,49,20,0.11410672514619889,0.18333745759064168,2.581546346841432,2,17.527450704044885,17.527450704044885,3.3947580924684995,0.8063176357024312
2484,49,21,0.20188172043010755,0.11764919525657924,0.33961270385537495,3,14.860186418109187,14.860186418109187,14.860186418109187,0.0
2485,49,22,0.21262345679012343,0.061828219379322265,0.08455730434095413,12,56.43779939033242,56.43779939033242,56.43779939033242,0.0
2486,49,23,0.4519444444444445,0.2633764962785658,0.33961270385537495,3,6.6379840196681,6.6379840196681,6.6379840196681,0.0
2487,49,24,0.286087962962963,0.1295655272301519,0.2051066599321018,5,17.477142163605468,17.477142163605468,17.477142163605468,0.0
2488,49,25,0.4317708333333333,0.20686093113550205,0.22953575561152822,5,11.58021712907117,11.58021712907117,11.58021712907117,0.0
2489,49,26,0.35270833333333335,0.2005291864432718,0.3232389908704494,4,11.340815121086827,11.340815121086827,11.340815121086827,0.0
2490,49,27,0.14597222222222223,0.03905237743622681,0.07157387276362363,14,95.90865842055186,95.90865842055186,95.90865842055186,0.0
2491,49,29,0.12070154095701538,0.19286551421285725,2.55319232206734,2,16.569796741138926,16.569796741138926,3.2449174701657864,0.8041667305363248
2492,49,30,0.30986111111111114,0.1805755879525139,0.33961270385537495,3,9.681757059614522,9.681757059614522,9.681757059614522,0.0
2493,49,31,0.14998538011695903,0.1613485902089776,1.1572641348870967,2,13.334633005166198,13.334633005166198,5.761274631770703,0.5679465171978391
2494,49,32,0.22894005847953225,0.12090770134231031,0.2789101699625477,4,17.47182221654586,17.47182221654586,17.47182221654586,0.0
2495,49,33,0.11944160997732427,0.10236223452744504,0.7344601181739354,2,16.744583402548706,9.938750557040924,53.119887894552704,0.0
2496,49,34,0.40774691358024695,0.1008815736729039,0.06121281217054294,17,41.6925289531451,41.6925289531451,41.6925289531451,0.0
2497,49,35,0.44257812500000004,0.6178195422854669,1.9486928588528318,2,4.518976169461606,4.518976169461606,1.1594890772376165,0.7434177491190977
2498,49,36,0.23727777777777778,0.10686114280166535,0.20282687340569444,5,21.072348396160148,21.072348396160148,21.072348396160148,0.0
2499,49,38,0.5577991452991453,0.6517573334272223,1.3652625076759501,2,3.585520015322735,3.585520015322735,1.3131247636127756,0.6337700645928257
2500,49,39,0.18542042042042034,0.19841624728700916,1.1450892562077557,2,10.78629848570735,10.78629848570735,4.7098068675575675,0.5633528152592464
2501,49,40,0.1253481481481481,0.16152432960237892,1.660504473545418,2,15.955560808415088,15.955560808415088,4.804431744272164,0.6988866889756535
2502,49,41,0.17352843915343913,0.08659357415069635,0.24901758111498368,5,28.813720819437833,28.813720819437833,28.813720819437833,0.0
2503,49,42,0.33355555555555555,0.16712697751050543,0.25104799726626353,4,11.992005329780147,11.992005329780147,11.992005329780147,0.0
2504,49,43,0.43527777777777776,0.2536637797593808,0.33961270385537495,3,6.892150606253988,6.892150606253988,6.892150606253988,0.0
2505,49,44,0.2747685185185185,0.16012492372600778,0.33961270385537495,3,10.918281381634372,10.918281381634372,10.918281381634372,0.0
2506,49,45,0.31302367941712195,0.29554863756506383,0.8914634447952927,2,6.389292988070994,3.3898482621096697,55.477811357456794,0.0
2507,49,46,0.30659722222222224,0.11147057017169733,0.13218555945597116,8,26.092865232163078,26.092865232163078,26.092865232163078,0.0
2508,49,47,0.21666883680555565,0.15283066568904274,0.49754011929463754,3,13.84601516411093,13.84601516411093,13.84601516411093,0.0
2509,49,48,0.2475418569254185,0.22823565875583743,0.8500993952058483,2,8.079441694592187,4.39870147401511,49.49995827914022,0.0
2510,49,49,0.24230769230769225,0.6020749766336366,6.1740018035312305,2,8.253968253968257,8.253968253968257,0.6684455655039966,0.9190152487947081
2511,49,50,0.2565644955300128,0.11365433332902349,0.19623609103318757,6,23.385932599930307,23.385932599930307,23.385932599930307,0.0
2512,49,51,0.16694899817850636,0.1033232428375459,0.38302614703136917,3,17.969559762151547,17.969559762151547,17.969559762151547,0.0
2513,49,52,0.5376041666666667,0.2797915078478198,0.2708593335114566,4,7.4404185235419495,7.4404185235419495,7.4404185235419495,0.0
2514,49,53,0.2631845238095239,0.2733147272154249,1.078463303755979,2,7.599231030193371,7.599231030193371,3.5231755237880718,0.5363773637372332
2515,49,54,0.2632491582491583,0.07647279119689365,0.08438784595064293,12,45.584191341050065,45.584191341050065,45.584191341050065,0.0
2516,49,55,0.14522151898734176,0.06582563005267886,0.2054603857571193,5,34.43015907605143,34.43015907605143,34.43015907605143,0.0
2517,49,56,0.2993222222222222,0.0957935062169317,0.10242222764713385,10,33.40881250232006,33.40881250232006,33.40881250232006,0.0
2518,49,57,0.25110929557007994,0.2064939499286685,0.6762216702398745,2,7.964659354642796,4.997686108586324,19.60142576077039,0.0
2519,50,0,0.46107638888888874,0.2644551680591205,0.32897155737077644,4,8.675352059643048,8.675352059643048,8.675352059643048,0.0
2520,50,1,0.14367975734355037,0.2556190934019543,3.1651581055156113,2,13.91984533505184,13.91984533505184,2.1989178535497307,0.8420300081917871
2521,50,2,0.296431623931624,0.12735501955190023,0.1845793308874552,6,20.240755424205286,20.240755424205286,20.240755424205286,0.0
