,hour,start,end_cell,hourly_rate
163,3,13,9,0.0488431876606667
164,3,13,11,0.005141388174807
165,3,13,12,0.0025706940874035
166,3,13,14,0.0038560411311051998
167,3,14,0,0.0025706940874035
168,3,14,1,0.0038560411311051998
169,3,14,2,0.0038560411311053
170,3,14,5,0.0038560411311051
171,3,14,6,0.0025706940874035
172,3,14,8,0.023136246786632002
173,3,14,9,0.0025706940874034
174,3,14,10,0.0012853470437017
175,3,14,13,0.0012853470437017
176,3,14,14,0.0038560411311051
177,3,15,2,0.0025706940874034
178,3,15,7,0.0012853470437017
179,3,17,9,0.0012853470437017
180,3,18,1,0.0385604113110533
181,3,18,2,0.0051413881748069
182,3,18,5,0.0115681233933157
183,3,18,6,0.0051413881748068
184,3,18,8,0.0064267352185087
185,3,18,9,0.1323907455012838
186,3,18,10,0.011568123393316
