hour,start_cell,end,hourly_demand
10.0,4,220,0.0673076923076923
10.0,4,270,0.0096153846153846
10.0,5,14,0.0192307692307692
10.0,5,18,0.0096153846153846
10.0,5,28,0.0192307692307692
10.0,5,71,0.0192307692307692
10.0,5,146,0.0096153846153846
10.0,5,150,0.0192307692307692
10.0,5,152,0.0192307692307692
10.0,5,153,0.0384615384615384
10.0,5,165,0.0673076923076923
10.0,5,219,0.0096153846153846
10.0,5,264,0.0384615384615384
10.0,6,0,0.0288461538461538
10.0,6,1,0.0096153846153846
10.0,6,3,0.0288461538461538
10.0,6,11,0.0384615384615384
10.0,6,12,0.0384615384615384
10.0,6,52,0.0288461538461538
10.0,6,55,0.0096153846153846
10.0,6,70,0.0192307692307692
10.0,6,82,0.0288461538461538
10.0,6,90,0.0576923076923076
10.0,6,115,0.0192307692307692
10.0,6,122,0.1153846153846153
10.0,6,124,0.0192307692307692
10.0,6,129,0.0673076923076923
10.0,6,132,0.0096153846153846
10.0,6,146,0.0096153846153846
10.0,6,148,0.0096153846153846
10.0,6,152,0.0192307692307692
10.0,6,153,0.0192307692307692
10.0,6,155,0.0096153846153846
10.0,6,167,0.0192307692307692
10.0,6,169,0.0288461538461538
10.0,6,174,0.1634615384615384
10.0,6,198,0.0096153846153846
10.0,6,216,0.0384615384615384
10.0,6,218,0.0673076923076923
10.0,6,270,0.0096153846153846
10.0,6,285,0.0769230769230769
10.0,7,0,0.0096153846153846
10.0,7,1,0.0192307692307692
10.0,7,3,0.0192307692307692
10.0,7,11,0.0192307692307692
10.0,7,12,0.0096153846153846
10.0,7,28,0.0096153846153846
10.0,7,49,0.0288461538461538
10.0,7,70,0.0096153846153846
10.0,7,82,0.0096153846153846
10.0,7,90,0.0096153846153846
10.0,7,108,0.0192307692307692
10.0,7,115,0.0096153846153846
10.0,7,122,0.0096153846153846
10.0,7,129,0.0192307692307692
10.0,7,147,0.0096153846153846
10.0,7,152,0.0288461538461538
10.0,7,153,0.0865384615384615
10.0,7,154,0.0096153846153846
10.0,7,165,0.0096153846153846
10.0,7,169,0.0096153846153846
10.0,7,174,0.0576923076923076
10.0,7,198,0.0192307692307692
10.0,7,216,0.0096153846153846
10.0,7,219,0.0288461538461538
10.0,7,238,0.0192307692307692
10.0,7,270,0.0192307692307692
10.0,7,277,0.0192307692307692
10.0,7,285,0.0192307692307692
10.0,8,3,0.0096153846153846
10.0,8,11,0.0288461538461538
10.0,8,12,0.0096153846153846
10.0,8,18,0.0096153846153846
10.0,8,52,0.0096153846153846
10.0,8,55,0.0096153846153846
10.0,8,82,0.0865384615384615
10.0,8,90,0.0192307692307692
10.0,8,96,0.0096153846153846
10.0,8,97,0.0096153846153846
10.0,8,124,0.0865384615384615
10.0,8,129,0.0192307692307692
10.0,8,137,0.0192307692307692
10.0,8,148,0.0384615384615384
10.0,8,153,0.0096153846153846
10.0,8,169,0.0096153846153846
10.0,8,174,0.0096153846153846
10.0,8,198,0.0192307692307692
10.0,8,218,0.0192307692307692
10.0,8,285,0.0096153846153846
10.0,9,1,0.0096153846153846
10.0,9,3,0.0192307692307692
10.0,9,14,0.0096153846153846
10.0,9,18,0.1153846153846153
10.0,9,28,0.0865384615384615
10.0,9,49,0.0096153846153846
10.0,9,70,0.0192307692307692
10.0,9,71,0.0192307692307692
10.0,9,90,0.0192307692307692
10.0,9,115,0.0096153846153846
10.0,9,129,0.0384615384615384
10.0,9,146,0.0192307692307692
10.0,9,150,0.0192307692307692
10.0,9,153,0.0384615384615384
10.0,9,154,0.0096153846153846
10.0,9,155,0.0096153846153846
10.0,9,165,0.0384615384615384
10.0,9,167,0.0192307692307692
10.0,9,174,0.1153846153846153
10.0,9,191,0.0096153846153846
10.0,9,198,0.0096153846153846
10.0,9,218,0.0769230769230769
10.0,9,219,0.0096153846153846
10.0,9,220,0.0096153846153846
10.0,9,264,0.0192307692307692
10.0,9,270,0.0288461538461538
10.0,9,277,0.0096153846153846
10.0,9,285,0.0096153846153846
11.0,0,0,0.048076923076923
11.0,0,1,0.0384615384615384
11.0,0,3,0.0192307692307692
11.0,0,12,0.0192307692307692
11.0,0,18,0.0096153846153846
11.0,0,28,0.0096153846153846
11.0,0,49,0.0288461538461538
11.0,0,52,0.0192307692307692
11.0,0,70,0.0096153846153846
11.0,0,71,0.0576923076923076
11.0,0,90,0.0096153846153846
11.0,0,108,0.0288461538461538
11.0,0,115,0.0288461538461538
11.0,0,124,0.0096153846153846
11.0,0,129,0.0288461538461538
11.0,0,132,0.0192307692307692
11.0,0,146,0.0096153846153846
11.0,0,147,0.0384615384615384
11.0,0,150,0.0096153846153846
11.0,0,152,0.0673076923076923
11.0,0,153,0.048076923076923
11.0,0,154,0.0096153846153846
11.0,0,155,0.0192307692307692
11.0,0,167,0.0096153846153846
11.0,0,169,0.0288461538461538
11.0,0,174,0.0288461538461538
11.0,0,191,0.0096153846153846
11.0,0,198,0.0096153846153846
11.0,0,209,0.0288461538461538
11.0,0,218,0.0288461538461538
11.0,0,219,0.0769230769230769
11.0,0,220,0.0192307692307692
11.0,0,238,0.0192307692307692
11.0,0,264,0.0192307692307692
11.0,0,277,0.0096153846153846
11.0,1,1,0.0096153846153846
11.0,1,3,0.0576923076923076
11.0,1,11,0.1057692307692307
11.0,1,12,0.0673076923076923
11.0,1,14,0.0096153846153846
