hour,start_cell,end_cell,mean,std,scv,scv_real,n,lambda,mu1,mu2,phi1
5,6,3,0.1033796296296296,0.0479406240927895,1.348636262121371,0.2150489978063396,2,19.346171070309,48.3654276757725,48.3654276757725,0.0
5,6,6,0.3127777777777777,0.4113004443901751,1.9114994586996976,1.729205379705902,2,6.394316163410302,6.394316163410302,1.8489174965722777,0.7108498470638355
5,6,7,0.2846031746031746,0.1319800995432742,0.217067465200602,0.2150489978063396,5,17.568321249302844,17.568321249302844,17.568321249302844,0.0
5,6,9,0.3372222222222222,0.1563813282095293,0.110177572903813,0.2150489978063395,10,29.65403624382208,14.827018121911038,14.827018121911038,0.0
5,7,0,0.1311458333333333,0.060816750066659,0.4028021086213734,0.2150489978063396,3,22.875297855440824,38.1254964257347,38.1254964257347,0.0
5,7,1,0.1282291666666666,0.0594641932740724,2.1271417386442053,0.2150489978063396,2,15.597075548334686,38.99268887083672,38.99268887083672,0.0
5,7,3,0.2155555555555555,0.2315436657216139,0.278434913744799,1.153844723137422,4,18.55670103092784,9.278350515463918,4.020623542063412,0.5666661293553878
5,7,4,0.2588235294117647,0.1200252078127214,0.2403199068699376,0.2150489978063396,5,19.318181818181817,19.318181818181817,19.318181818181817,0.0
5,7,6,0.1658796296296296,0.0769239839339296,0.1777020477770836,0.2150489978063396,6,36.170806586659225,30.142338822216026,30.142338822216026,0.0
5,7,7,0.1591820987654321,0.2841350389094538,2.2586537079414586,3.186112699599081,2,12.564226854095976,12.564226854095976,1.971717267828752,0.8430689535674878
5,7,8,0.2711111111111111,0.1257233742442345,0.1563997864915961,0.2150489978063395,7,25.819672131147534,18.442622950819672,18.442622950819672,0.0
5,7,9,0.1320726495726495,0.0612465460437904,0.1848274816589306,0.2150489978063396,6,45.42954214528393,37.85795178773661,37.85795178773661,0.0
5,8,1,0.1946666666666666,0.0902735047852044,0.1938548404768453,0.2150489978063396,6,30.82191780821918,25.68493150684932,25.68493150684932,0.0
5,8,3,0.2258024691358024,0.1047122274556943,0.1552518049649766,0.2150489978063396,7,31.00054674685621,22.143247676325863,22.143247676325863,0.0
5,8,4,0.4592901234567901,0.2129883347140771,0.2150489978063396,0.2150489978063396,5,10.886365163631476,10.886365163631476,10.886365163631476,0.0
5,8,6,0.1569444444444444,0.0435473702626246,0.4199033862357501,0.076989584149111,3,19.11504424778761,82.83185840707964,82.83185840707964,0.0
5,8,7,0.2686111111111111,0.1245640398505888,0.2067007977006093,0.2150489978063396,5,18.61427094105481,18.61427094105481,18.61427094105481,0.0
5,8,8,0.2299999999999999,0.3153163828542632,1.66371160355924,1.8794786634460556,2,8.695652173913045,8.695652173913045,2.313314948191384,0.7339687809579909
5,9,0,0.2128514739229024,0.0987064137827925,0.1781705755435594,0.2150489978063396,6,28.188670200015984,23.49055850001332,23.49055850001332,0.0
5,9,1,0.1606944444444444,0.0427692803134623,1.8349900792998703,0.0708373261321478,2,12.445980985306823,93.3448573898012,93.3448573898012,0.0
5,9,3,0.2689492753623188,0.1867464648106095,0.2289103017575295,0.482129850782873,5,18.590866226593025,11.154519735955816,11.154519735955816,0.0
5,9,4,0.3021825396825397,0.1401322445652584,0.2150489978063396,0.2150489978063395,5,16.54629021667761,16.54629021667761,16.54629021667761,0.0
5,9,5,0.0844444444444444,0.0391597395186959,0.2249589268502321,0.2150489978063396,5,59.21052631578947,59.21052631578947,59.21052631578947,0.0
5,9,6,0.2036746031746031,0.0553541728200706,0.2662650149029635,0.0738630051182641,4,19.639169231968207,68.73709231188873,68.73709231188873,0.0
5,9,7,0.116031746031746,0.053807837571742,0.2652893971301127,0.2150489978063396,4,34.47332421340629,43.09165526675787,43.09165526675787,0.0
5,9,9,0.0751543209876543,0.1150699357187185,2.0045381063900973,2.344314265355085,2,26.611909650924023,26.611909650924023,5.675840915230966,0.7867180149909352
6,0,0,0.1262289562289562,0.2286310136121843,2.606309026269561,3.2805926027682246,2,15.84422512670045,15.84422512670045,2.4148419272375974,0.8475885120334385
6,0,1,0.2688095238095238,0.075160615789021,0.2082271915165068,0.0781792241458139,5,18.60053144375554,48.3613817537644,48.3613817537644,0.0
6,0,2,0.3994444444444444,0.1852358731180422,0.2150489978063395,0.2150489978063396,5,12.51738525730181,12.51738525730181,12.51738525730181,0.0
6,0,3,0.1747392290249433,0.0448953332433,0.5380382241329967,0.0660117990054753,2,11.445626784323904,91.56501427459123,91.56501427459123,0.0
6,0,4,0.1781501182033097,0.0457365497167319,1.0911939240088535,0.0659104942789348,2,11.22648707826029,89.81189662608232,89.81189662608232,0.0
6,0,6,0.2119166666666666,0.0870989975034916,0.4403814099388325,0.1689258389550006,3,14.15650806134487,28.31301612268974,28.31301612268974,0.0
6,0,7,0.2520987654320987,0.2950374698658265,0.616434641723834,1.3696604404649757,2,7.933398628795299,7.933398628795299,2.896118773096071,0.6349460163788779
6,0,9,0.3341666666666666,0.1549643639506291,0.1772686157280765,0.2150489978063395,6,17.955112219451372,14.962593516209475,14.962593516209475,0.0
6,1,0,0.2897685185185185,0.0650364135104675,0.192501081738236,0.0503745020973919,6,20.706183096341267,69.02061032113755,69.02061032113755,0.0
6,1,1,0.0809239130434782,0.1919290479464671,4.548686863957063,5.62506659668776,2,24.714573539288125,24.714573539288125,2.1968249721559694,0.9111121634907544
6,1,2,0.3105555555555555,0.1440150946773095,0.1891055314766566,0.2150489978063396,6,19.32021466905188,16.100178890876567,16.100178890876567,0.0
6,1,3,0.1571327160493827,0.042955167244603,0.2369948661934037,0.0747304493780751,5,31.820235312604343,89.09665887529215,89.09665887529215,0.0
6,1,4,0.3674166666666666,0.1703835113861157,0.2669244030398396,0.2150489978063396,4,10.88682240870946,13.608528010886824,13.608528010886824,0.0
6,1,6,0.1639513888888889,0.6129668575285208,2.6126317926737954,13.97795977844452,2,12.19873776949468,12.19873776949468,0.43635616223143,0.9642294005759658
6,1,7,0.27375,0.1269471161041937,0.2783654922279114,0.2150489978063396,4,14.611872146118722,18.264840182648403,18.264840182648403,0.0
6,1,8,0.2122222222222222,0.0984146085272491,0.2460707520197274,0.2150489978063396,5,23.56020942408377,23.56020942408377,23.56020942408377,0.0
6,2,0,0.3880555555555555,0.1799544608803233,0.1881974109414607,0.2150489978063395,6,15.461703650680027,12.884753042233358,12.884753042233358,0.0
6,2,1,0.2161349206349206,0.1002290588639706,0.1633699439829339,0.2150489978063396,7,32.387177321631846,23.13369808687989,23.13369808687989,0.0
6,2,2,0.128179012345679,0.2572836766307396,1.7705874990237904,4.028938375613406,2,15.603178425234772,15.603178425234772,1.93638832001981,0.8758978288110761
6,2,3,0.3144444444444444,0.1458185037340916,0.2016963978029636,0.2150489978063396,5,15.901060070671376,15.901060070671376,15.901060070671376,0.0
6,2,6,0.239699074074074,0.1111565522796318,0.2573073226165532,0.2150489978063396,4,16.687590535972962,20.8594881699662,20.8594881699662,0.0
6,2,8,0.1994444444444444,0.0924891216263938,0.1962476389316892,0.2150489978063396,6,30.083565459610032,25.06963788300836,25.06963788300836,0.0
6,2,9,0.2436111111111111,0.1129706959141328,0.2403204646343371,0.2150489978063396,5,20.524515393386544,20.524515393386544,20.524515393386544,0.0
6,3,1,0.1714814814814814,0.0795217517419133,0.3331670482874117,0.2150489978063396,4,23.32613390928726,29.15766738660908,29.15766738660908,0.0
6,3,3,0.2946921921921921,1.1609991118375964,4.0751733717527925,15.521243636939303,2,6.786742414592516,6.786742414592516,0.2186275331198531,0.9677860864956696
6,3,4,0.24,0.111296101789978,0.2076896182876405,0.2150489978063396,5,20.833333333333336,20.833333333333336,20.833333333333336,0.0
6,3,6,0.1138383838383838,0.026258538596675,0.9187584880181076,0.0532063737882792,2,17.568766637089617,166.90328305235136,166.90328305235136,0.0
6,3,7,0.2113888888888889,0.0980281637293672,0.2573852438156823,0.2150489978063396,4,18.922470433639948,23.653088042049934,23.653088042049934,0.0
6,3,8,0.2648148148148148,0.1228035691046825,0.1781401759615221,0.2150489978063396,6,22.65734265734266,18.881118881118883,18.881118881118883,0.0
6,3,9,0.3725,0.1727408246531951,0.4067298394084362,0.2150489978063396,3,8.053691275167786,13.422818791946307,13.422818791946307,0.0
6,4,0,0.2589153439153439,0.1200677852974554,0.231472211199608,0.2150489978063396,5,19.311331357923777,19.311331357923777,19.311331357923777,0.0
6,4,3,0.2478632478632479,0.1149425552674275,0.7799844739627454,0.2150489978063396,2,8.068965517241379,20.172413793103445,20.172413793103445,0.0
6,4,4,0.0791812865497076,0.1174493321601473,2.701760482275641,2.2001687675047097,2,25.25849335302806,25.25849335302806,5.7401263316892335,0.7727447060494964
6,4,6,0.3765555555555555,0.1746215226695535,0.2068672679524688,0.2150489978063396,5,13.278253172027147,13.278253172027147,13.278253172027147,0.0
6,4,7,0.4068055555555555,0.1886494688326653,0.2150489978063395,0.2150489978063396,5,12.29088426083988,12.29088426083988,12.29088426083988,0.0
6,4,9,0.8966666666666666,0.4158146025208902,0.2017753966332683,0.2150489978063396,5,5.576208178438662,5.576208178438662,5.576208178438662,0.0
6,5,0,0.2580555555555555,0.1196690724107518,0.2029064561482075,0.2150489978063396,5,19.3756727664155,19.3756727664155,19.3756727664155,0.0
6,5,1,0.1625,0.0753567355869643,0.2988804921725413,0.2150489978063396,4,24.615384615384613,30.769230769230766,30.769230769230766,0.0
6,5,5,0.2507407407407407,0.3842687192052857,1.2629670274154805,2.348660569154472,2,7.976366322008864,7.976366322008864,1.6980670657063888,0.787112703058662
6,5,6,0.2386111111111111,0.1106520271268416,0.31649356629409,0.2150489978063396,4,16.763678696158323,20.954598370197903,20.954598370197903,0.0
6,5,7,0.1699305555555555,0.0788025350347443,0.3905061573970788,0.2150489978063396,3,17.65427053534941,29.42378422558235,29.42378422558235,0.0
6,5,9,0.2284259259259259,0.1829883819874552,0.6580724654791895,0.6417357682413124,2,8.755573571139035,5.713558290276161,18.72531334410022,0.0
6,6,0,0.2025,0.093906085885294,0.2257659975139477,0.2150489978063396,5,24.69135802469136,24.69135802469136,24.69135802469136,0.0
6,6,1,0.1074572649572649,0.0498315612448183,0.6260199631319178,0.2150489978063395,2,18.612050109365683,46.5301252734142,46.5301252734142,0.0
6,6,3,0.1597875816993463,0.2090282744874996,1.348636262121371,1.711291617557093,2,12.516617241026692,12.516617241026692,3.657067303027652,0.7078230297687303
6,6,4,0.3425,0.1588288119294479,0.2369365579727277,0.2150489978063396,5,14.5985401459854,14.5985401459854,14.5985401459854,0.0
6,6,6,0.2197916666666666,0.2198387932500465,1.9114994586996976,1.000428875547584,2,9.09952606635071,4.549763033175355,0.0,1.0
6,6,7,0.1791666666666666,0.0830856315446016,0.217067465200602,0.2150489978063396,5,27.906976744186046,27.906976744186046,27.906976744186046,0.0
6,7,0,0.1221875,0.0566624684894289,0.4028021086213734,0.2150489978063396,3,24.55242966751918,40.92071611253197,40.92071611253197,0.0
6,7,1,0.1568954248366013,0.0727577048874843,2.1271417386442053,0.2150489978063396,2,12.747344303270154,31.86836075817538,31.86836075817538,0.0
6,7,3,0.1694551282051282,0.0392373657238335,0.278434913744799,0.0536154866396714,4,23.6050690372612,112.12407792699072,112.12407792699072,0.0
6,7,4,0.2281147540983606,0.1057845120496957,0.2403199068699376,0.2150489978063396,5,21.91879266978081,21.91879266978081,21.91879266978081,0.0
6,7,6,0.1890873015873015,0.0876861648527191,0.1777020477770836,0.2150489978063396,6,31.73137460650577,26.442812172088143,26.442812172088143,0.0
6,7,7,0.2094598765432098,0.3002238252459317,2.2586537079414586,2.054417102665188,2,9.548368083695577,9.548368083695577,2.323863073206632,0.7566219637914073
6,7,8,0.3718055555555555,0.1724187873216268,0.1563997864915961,0.2150489978063396,7,18.82704519985058,13.447889428464702,13.447889428464702,0.0
6,7,9,0.1363888888888888,0.0367053667822197,0.1848274816589306,0.0724271095606871,6,43.9918533604888,102.64765784114054,102.64765784114054,0.0
