model,n_stations,solution_method,spatial_simplification,ode_method,stations_per_cell,delta_t_ratio_or_epsilon,delta_t_or_n_iterations,time,std_time,error_sum_metric,error_max_metric
6,14,discrete_step,none,RK45,5,0.025,0.0978796268332423,0.439828222999495,0.261382794999918,0.0157583922569332,0.00794998583423237
6,14,discrete_step,none,BDF,5,0.1,0.391518507332969,0.491239355999824,0.60113509599978,0.0172840837824611,0.00678326439780238
6,14,discrete_step,none,BDF,5,0.05,0.195759253666485,0.698587236999629,0.60113509599978,0.0121780692584152,0.00590690564210687
6,14,discrete_step,none,BDF,5,0.025,0.0978796268332423,1.18135037199954,0.60113509599978,0.0161997939518659,0.00801701139826404
7,10,discrete_step,none,RK45,5,0.1,0.41279060818371,0.219867924999562,0.154179974000726,0.00347737173249638,0.00269932855079009
7,10,discrete_step,none,RK45,5,0.05,0.206395304091855,0.256950110000616,0.154179974000726,0.00253786745756925,0.00131751465446249
7,10,discrete_step,none,RK45,5,0.025,0.103197652045928,0.272935013000279,0.154179974000726,0.00388125501351611,0.002296274223966
7,10,discrete_step,none,BDF,5,0.1,0.41279060818371,0.22427960999994,0.144917630999771,0.00353170310740886,0.00268388298584129
7,10,discrete_step,none,BDF,5,0.05,0.206395304091855,0.343735494000612,0.144917630999771,0.00257912683771855,0.00133478423011768
7,10,discrete_step,none,BDF,5,0.025,0.103197652045928,0.561461159999453,0.144917630999771,0.00395139490448457,0.0022682310689772
8,13,discrete_step,none,RK45,5,0.1,0.405301880144373,0.349099895000109,0.264402818000235,0.0168692666265919,0.00727202720607569
8,13,discrete_step,none,RK45,5,0.05,0.202650940072186,0.401875145000304,0.264402818000235,0.0107004701656056,0.00599652188522753
8,13,discrete_step,none,RK45,5,0.025,0.101325470036093,0.415941360000033,0.264402818000235,0.0122902865557684,0.00838189635427823
8,13,discrete_step,none,BDF,5,0.1,0.405301880144373,0.359748568000214,0.233905085000515,0.0169952078608701,0.00726188791492625
8,13,discrete_step,none,BDF,5,0.05,0.202650940072186,0.558264063000024,0.233905085000515,0.0110857317813924,0.00612072402744744
8,13,discrete_step,none,BDF,5,0.025,0.101325470036093,0.965775681000196,0.233905085000515,0.0126167580305708,0.00849906913404973
9,14,discrete_step,none,RK45,5,0.1,0.430991274609438,0.403557190999891,0.276489360000596,0.0150471109242096,0.00882167723046642
9,14,discrete_step,none,RK45,5,0.05,0.215495637304719,0.426359679999223,0.276489360000596,0.0092736544011156,0.00354263645978963
9,14,discrete_step,none,RK45,5,0.025,0.107747818652359,0.476746781999282,0.276489360000596,0.0127452431774469,0.0055925600225833
9,14,discrete_step,none,BDF,5,0.1,0.430991274609438,0.485341182000411,0.602303497999856,0.0152047982107962,0.0089964938310821
9,14,discrete_step,none,BDF,5,0.05,0.215495637304719,0.670356134000031,0.602303497999856,0.00977838870646189,0.00368159989397865
9,14,discrete_step,none,BDF,5,0.025,0.107747818652359,1.16851104000034,0.602303497999856,0.0129825075859968,0.00555468638746149
10,13,discrete_step,none,RK45,5,0.1,0.37655537483851,0.336171695000303,0.258506027999829,0.00966576474041943,0.00474159021758139
10,13,discrete_step,none,RK45,5,0.05,0.188277687419255,0.378427515000112,0.258506027999829,0.00594391854602455,0.00216357820104846
10,13,discrete_step,none,RK45,5,0.025,0.0941388437096274,0.425564488999953,0.258506027999829,0.00839318717494584,0.00384391126483074
10,13,discrete_step,none,BDF,5,0.1,0.37655537483851,0.407243946000563,0.318088297000031,0.00970504546955534,0.00479762215030517
10,13,discrete_step,none,BDF,5,0.05,0.188277687419255,0.629793561000042,0.318088297000031,0.00608945210941195,0.00225094884863287
10,13,discrete_step,none,BDF,5,0.025,0.0941388437096274,1.0335671769999,0.318088297000031,0.00860577683811995,0.00379688618956461
11,11,discrete_step,none,RK45,5,0.1,0.38854941589735,0.258731791999708,0.195747942999333,0.0101206690479437,0.0058473065950872
11,11,discrete_step,none,RK45,5,0.05,0.194274707948675,0.278385837000314,0.195747942999333,0.00675181067859704,0.00334185950578262
11,11,discrete_step,none,RK45,5,0.025,0.0971373539743376,0.309019436999733,0.195747942999333,0.00761517840377269,0.00371090030122766
11,11,discrete_step,none,BDF,5,0.1,0.38854941589735,0.2886587160001,0.141995881000184,0.0102690546675491,0.00585054349699544
11,11,discrete_step,none,BDF,5,0.05,0.194274707948675,0.456046524000158,0.141995881000184,0.00686772163732067,0.0033346544098303
11,11,discrete_step,none,BDF,5,0.025,0.0971373539743376,0.777893321000192,0.141995881000184,0.00783528951716029,0.00364585174396684
12,15,discrete_step,none,RK45,5,0.1,0.430167987796832,0.450264328999765,0.33898213700013,0.00858325435974133,0.00317958723900585
12,15,discrete_step,none,RK45,5,0.05,0.215083993898416,0.471712118000141,0.33898213700013,0.00501532427858416,0.00174502757324883
12,15,discrete_step,none,RK45,5,0.025,0.107541996949208,0.534694022999247,0.33898213700013,0.00666891278001824,0.00223101089051208
