output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum, min_tput, max_tput, opt_tput
2501,3,0.3744023138078889,45,45,18,36.474354878645,36.474354878645,44.479115351458, 53.322459, 53.322459, 51.218357
2502,2,4.526078081513011,8,8,6,8.659156347895916,8.659156347895916,10.036165510921936, 44.867781, 44.867781, 37.192634
2503,4,2.76221794225344,8,8,4,1.886663461972482,1.886663461972482,3.623259230986241, 23.984407, 23.984407, 14.672131
2504,4,4.32838604905552,7,7,4,1.7996906566113609,1.7996906566113644,3.97904080377792, 32.098393, 32.098393, 21.292585
2505,4,1.5752945586480553,22,22,11,8.921085709742776,8.921085709742783,18.215407854871387, 43.577566, 43.577566, 35.543648
2506,3,3.4477269020241677,6,6,4,2.3711415878549964,2.3711415878549964,3.06374339190333, 23.057503, 23.057503, 16.854651
2507,4,3.608074256807135,8,8,5,2.955724945542922,2.955724945542922,5.007503715964328, 31.820319, 31.820319, 23.047875
2508,3,0.9676857785514992,31,31,12,14.148195864903528,14.148195864903528,26.806523657382016, 44.146455, 44.146455, 38.418753
2509,3,4.361561505360022,11,11,7,9.629725441039753,9.629725441039753,13.500942462479843, 57.606902, 57.606902, 44.031873
2510,4,4.846305071387656,7,7,4,2.0426705002864054,2.0426705002864125,4.446391714449376, 35.966806, 35.966806, 23.831612
2511,3,2.790102366580285,14,14,8,12.26794786787601,12.26794786787601,18.86448706735772, 51.329381, 51.329381, 41.185306
2512,4,4.264881939073797,18,18,10,11.81153409667165,11.81153409667165,20.19867360926203, 88.579409, 88.579409, 62.847493
2513,3,0.8741539435203571,45,45,22,49.748313541583926,49.748313541583926,64.42235024255216, 89.085241, 89.085241, 83.653737
2514,2,1.3002286798671165,30,30,21,60.51316560398651,60.51316560398651,64.97983072279055, 99.520026, 99.520026, 92.284633
2515,4,3.085864581237866,11,11,6,7.493321606383475,7.493321606383475,14.059139512572802, 41.437832, 41.437832, 32.574327
2516,4,0.9340643515028613,60,60,24,34.11237290982832,34.11237290982832,60.98062556393134, 90.156234, 90.156234, 83.39817
2517,3,1.8305580206048588,19,19,11,12.80459960850768,12.804599608507687,19.683192773346555, 47.585202, 47.585202, 39.819331
2518,2,4.247795302212246,6,6,4,4.553578186726522,4.553578186726522,5.094494791151014, 30.04035, 30.04035, 22.085676
2519,2,1.341552053646331,28,28,15,28.825405497902736,28.825405497902736,38.257355195305045, 66.388863, 66.388863, 58.380636
2521,4,2.1472825266854514,15,15,8,5.920216099718232,5.920216099718232,10.69861278651639, 38.129454, 38.129454, 27.876873
2522,2,4.62597132865019,4,4,3,1.6713066853992409,1.6713066853992409,1.91704601404943, 20.175192, 20.175192, 15.79496
2523,3,3.1231561848314424,9,9,6,6.355393336517018,6.355393336517018,8.242707891011346, 34.463799, 34.463799, 26.981645
2524,4,2.956682963722434,13,13,8,8.838330471608352,8.838330471608359,13.558894290220532, 47.275209, 47.275209, 37.212358
2525,4,0.71964368877315,55,55,16,13.025948117476744,13.025948117476752,38.783130979629604, 52.606351, 52.606351, 50.29743
2526,3,1.4638119679922146,19,19,10,13.146648608147924,13.146648608147924,20.283994320077856, 40.959076, 40.959076, 34.922114
2527,3,2.846309942594247,9,9,5,5.329476516651777,5.329476516651777,7.735171287028764, 30.946266, 30.946266, 21.966721
2528,2,3.438901422186097,3,3,2,0.9428177334417089,0.9428177334417089,1.039680655627806, 11.259522, 11.259522, 7.9174835
2529,4,3.663625739678775,15,15,9,7.691890904818379,7.691890904818379,13.252337342891035, 62.646277, 62.646277, 46.224969
2530,4,2.1526935210379188,15,15,7,9.048872184431218,9.048872184431218,19.630344352734568, 41.339275, 41.339275, 34.699199
2531,3,1.5092458208155346,21,21,11,10.79857476287377,10.79857476287377,18.03248797102912, 42.492737, 42.492737, 34.634192
2532,2,1.1397307694552423,20,20,13,14.703175610895151,14.703175610895151,17.556898997081852, 37.497791, 37.497791, 32.373399
