,name,start_station_id,longitude,latitude,cell,capacity
132,KLINGENBERGGATA,2280,10.7322812916998,59.9131505340701,0,15
133,KONTRASKJÆRET,414,10.7385699999945,59.9102419999846,41,12
134,KREBS' GATE,501,10.7654129999983,59.9359949999829,16,18
135,KROHGSTØTTEN HOSPITAL,2332,10.7573766668429,59.9162960107562,5,12
136,KVÆRNERBYEN,447,10.7861670000084,59.9044729999946,24,30
137,KVÆRNERVEIEN,1919,10.7785921322961,59.905910834884,37,6
138,KØBENHAVNGATA BUSSTOPP,586,10.7691312541082,59.9294628076473,30,27
139,LAKKEGATA,440,10.7622134999986,59.917208800039,21,17
140,LANDSTADS GATE,410,10.7496754999943,59.9290050000297,2,27
141,LANGKAIA,541,10.7479977000013,59.9080552000068,33,12
142,LEGEVAKTEN,2332,10.7573766668428,59.9162960107558,5,12
143,LILLE GRENSEN,526,10.7423101000019,59.9138972999728,4,15
144,LILLE SCHOUS PLASS,401,10.7606289999987,59.9202589999991,21,6
145,LILLEBORGBANEN,540,10.7691102335716,59.9336628392445,16,36
146,LINAAES GATE,549,10.7457035414085,59.9138267621783,8,21
147,LINDERN,434,10.7350062000025,59.9358882999747,1,21
148,LODALEN BUSSTOPP,738,10.7779580000014,59.903452800004,37,12
149,LØRENPORTEN,2270,10.799817484162,59.9287929205107,26,20
150,LØRENVEIEN,402,10.7917407238475,59.9309019089449,39,21
151,MAILUNDVEIEN,565,10.7728203000005,59.930918099999,30,18
152,MAJORSTUA SKOLE,590,10.7136815999985,59.92943509999,28,40
153,MAJORSTUEN,413,10.716926000007,59.9290450000739,28,18
154,MAJORSTUEN T BANE,508,10.7146301505186,59.9298165151465,28,18
155,MAJORSTUVEIEN,473,10.7161949999959,59.9266970000141,28,9
156,MANDALLS GATE,522,10.7638147000035,59.9123468999811,6,10
157,MARCUS THRANES GATE,607,10.7585902748279,59.9327676228808,12,30
158,MARIENLYST,471,10.7217648491239,59.9324406900926,18,12
159,MARIENLYSTPARKEN,505,10.7234779999999,59.9321500000066,18,24
160,MELTZERS GATE,588,10.7184344999989,59.9180141000055,23,21
161,MONOLITTVEIEN,531,10.6811379999999,59.9359469999943,36,18
162,MUNKEDAMSVEIEN,615,10.7301061000024,59.9135227000027,0,21
163,MUNKEGATA,737,10.7678000000011,59.9082550000045,29,24
164,MUNKEGATA TRIKKESTOPP,737,10.7677999999957,59.9082549999645,29,24
165,MYRALØKKA ØST,525,10.7605813000048,59.9372050000127,9,15
166,MØLLEPARKEN,439,10.7559692999946,59.9283928000222,12,25
167,MØLLERGATA,477,10.7485318262864,59.9154009865089,8,22
168,NEDRE SLOTTSGATE,528,10.7436690000021,59.9132449999966,4,22
169,NORDRE GATE,585,10.754745265358,59.9211768883777,34,18
170,NORSK FOLKEMUSEUM,418,10.6868430000025,59.9076740000106,40,12
171,NYBRUA HOLDEPLASS,2334,10.757428972017,59.9165449260835,5,12
172,NYDALEN,482,10.7664829999995,59.9528680000045,9,18
173,NYLANDSVEIEN,734,10.7622812000028,59.9156602999823,6,22
174,OLAF RYES PLASS,551,10.7581820000119,59.9224249999971,34,35
175,OLAV KYRRES PLASS,428,10.6968953000009,59.9193337000006,25,24
176,OLAV VS GATE,515,10.7321210000005,59.9129179999991,0,22
177,OSCARS GATE,564,10.7272388000066,59.9224221999793,13,30
178,OSLO HANDELSGYMNASIUM,404,10.7202019999973,59.9143060000222,32,27
179,OSLO HOSPITAL,735,10.7673396675028,59.9031812321726,29,15
180,OSLO PLAZA,448,10.7544666695195,59.9121838642808,11,9
181,OSLOMET,400,10.7354280000026,59.9199269999842,14,25
182,OVER RÅDHUSGATA,571,10.7407129000031,59.9101207000139,4,21
183,PALÉHAVEN,599,10.7501099999954,59.9103310000253,33,48
184,PARKVEIEN,403,10.7304759999975,59.9217679999779,13,15
185,PILESTREDET,556,10.7296246000018,59.9262242000198,13,18
186,PILESTREDET 63,622,10.7313626999972,59.9238825999991,13,30
187,PILESTREDET STUDENTHUS,389,10.7342854000005,59.9205527999826,14,18
188,PROFESSOR ASCHEHOUGS PLASS,1023,10.7409710000006,59.9147672000092,42,15
189,RIDDERVOLDPLASS,587,10.7196414000038,59.9191421000212,23,22
190,RINGNES PARK,398,10.7595606739873,59.9284448337471,12,18
191,ROLF WICKSTRØMS VEI,601,10.7577241000016,59.9534114000056,9,20
192,ROSTOCKGATA,2315,10.7603105458075,59.9069125403848,3,18
193,RUSELØKKGÅRDEN,449,10.7263826513489,59.9135397964543,32,24
194,RÅDHUSBRYGGE 4,494,10.7303766000114,59.9108469000755,0,22
195,RÅDHUSBRYGGE 4,507,10.764162,59.919179,21,20
196,RÅDHUSBRYGGE 4,589,10.675096,59.898126,40,27
197,RÅDHUSGATA,481,10.736215000001,59.9109239999919,41,41
198,SAGA KINO,390,10.7328035876141,59.9141616152612,0,30
