n_players,price,base_price,Q,Qs_per_player,eq_tput
6,"[0.9571552099764709, 0.8475907390736469, 0.966829565854938, 1.0572929775016198, 0.979357396513311, 1.0054376038743222]",0.9308621195474396,25,"[1, 20, 1, 1, 1, 1]",22.54549744801178
6,"[0.9833962123714777, 0.8971859667483971, 1.2315489202415835, 1.005996446841372, 0.9212826260192676, 1.1907253574803374]",0.9599807553936047,17,"[1, 11, 1, 1, 2, 1]",15.711266760811265
6,"[0.7428492113878082, 0.6224622708406196, 0.7563668041380327, 0.7651536563354915, 0.8031911837725532, 0.7693039615218483]",0.7349916905802815,73,"[11, 53, 5, 2, 1, 1]",56.225477184027184
6,"[0.9474341862854225, 0.8181976060197982, 0.8888452323667341, 0.8056250380156375, 0.7670651222259052, 0.7910387284743499]",0.8960115382004712,52,"[1, 4, 1, 9, 23, 14]",43.055099881721944
6,"[0.7425345523841628, 0.7615329171351074, 0.9847240273135434, 0.8194003789983495, 0.7839761152866406, 0.7930167732731547]",0.7558142968109057,60,"[25, 18, 1, 1, 10, 5]",48.37275847961522
6,"[0.8365225874886432, 0.8295549342242563, 0.7520568763504022, 0.6051146158156355, 0.8618757891285979, 0.8567789154646018]",0.831829853159642,72,"[1, 1, 8, 60, 1, 1]",55.65815371910459
6,"[1.0226226124604385, 0.8567387644942879, 0.9683156949239511, 0.794145805044708, 0.9164903687169281, 0.8197688960509344]",0.8756505737140338,42,"[1, 1, 1, 24, 1, 14]",35.91601198259593
6,"[0.6754181683891197, 0.5971753308970258, 0.64213276952347, 0.5632519464577693, 0.798925998510297, 0.6093380357454335]",0.6688154138590016,101,"[4, 26, 13, 36, 1, 21]",68.99927027150068
6,"[0.9518659506336175, 1.0563355805139676, 0.9638995347594601, 0.9542650245471979, 0.885484041101004, 1.0387393241674914]",0.9500413461763996,18,"[1, 1, 1, 1, 13, 1]",16.5848049886468
6,"[0.6052201400921743, 0.6917314181787823, 0.7868487272074889, 0.654316877831495, 0.49492142435377073, 0.694805229158195]",0.6915793304697592,99,"[26, 1, 1, 12, 58, 1]",68.32613057460054
6,"[0.5915560975216934, 0.5930797211396345, 0.5485245396551599, 0.5735712461099958, 0.7340588598433302, 0.4571874281029418]",0.5971619224755952,113,"[13, 13, 23, 17, 1, 46]",72.06406892637511
6,"[0.44241202730133333, 0.6010669288218544, 0.44316567971081877, 0.701475491162389, 0.4515964390650041, 0.5107574949455379]",0.5004978418506999,125,"[36, 1, 35, 1, 33, 19]",73.52143185672183
6,"[1.0387538738499154, 0.826224127518146, 0.8282253872979378, 0.9439340018164828, 0.9594743429858607, 0.956995450840796]",0.9900198272084815,37,"[1, 17, 16, 1, 1, 1]",32.14476349016415
6,"[0.48296661554907083, 0.5153901316426701, 0.4084793652721104, 0.5217029055513082, 0.39011599819711107, 0.6006953100088442]",0.487518376227584,130,"[21, 13, 39, 12, 44, 1]",73.78356388566553
6,"[0.3079825784594158, 0.5178992522739421, 0.5903463063891131, 0.7996206955902584, 0.7141708552558053, 0.6830855391192197]",0.6169124816467465,117,"[78, 27, 9, 1, 1, 1]",72.71037939024662
6,"[0.4532396540201232, 0.49317467499469203, 0.5685629179152915, 0.597469873378226, 0.539761587126673, 0.3956103537755819]",0.48998504487106437,125,"[34, 24, 6, 1, 13, 47]",73.52143185672183
6,"[0.9930257323056028, 0.9351617110480036, 0.9736395957616623, 0.7818945114196563, 0.8849479501192947, 0.9155019123459223]",0.9049395747151754,37,"[1, 1, 1, 32, 1, 1]",32.14476349016415
6,"[0.584846838896204, 0.6091205062925288, 0.4956030017718428, 0.5510369683799408, 0.6121151245692603, 0.5128982712623579]",0.5025199105458453,114,"[14, 8, 35, 21, 6, 30]",72.24254997621414
6,"[0.7404624915942977, 0.8334353668768988, 0.906179174652042, 0.9513391239245081, 1.0159352650756401, 0.6624189070732303]",0.8902794244641905,67,"[17, 1, 1, 1, 1, 46]",52.72740662990544
6,"[0.8084426190977222, 0.9727038700157977, 1.1383353201699817, 0.8205940723944526, 0.839710550280457, 0.8258845009756655]",0.8398830860574892,44,"[17, 1, 1, 12, 4, 9]",37.386962415213596
6,"[0.566844722265745, 0.6444503914826172, 0.6521066368801205, 0.7564389770962636, 0.6720441044998708, 0.6577098580515631]",0.6535535281973927,96,"[41, 17, 15, 1, 9, 13]",67.23592070300712
6,"[1.1954064459736282, 1.1180319880248588, 1.131434719885522, 0.8259190120845891, 0.8847804057905224, 0.9276277610219182]",0.9432281746015345,30,"[1, 1, 1, 24, 2, 1]",26.63959352173462
6,"[0.6048885075275447, 0.5639951344911743, 0.6451254777452047, 0.7115803502020647, 0.6952363180911089, 0.79777702293476]",0.6701549067500466,96,"[30, 43, 18, 1, 3, 1]",67.23592070300712
6,"[0.8486946648944926, 0.9635991608203343, 0.999104150103933, 0.8216374057707005, 0.9295109715104437, 0.7964446631942593]",0.9161018693636892,42,"[4, 1, 1, 13, 1, 22]",35.91601198259593
6,"[0.8176403242432041, 0.7912616742682912, 0.823005595592452, 0.6806556305812224, 0.7742871308767347, 0.7633697437397711]",0.7974796859800375,65,"[1, 2, 1, 42, 8, 11]",51.51250494893721
6,"[0.7120871269994957, 0.854418922888277, 0.8615037136296888, 0.7286272199533521, 0.5875785477396704, 0.6099101515296769]",0.6592235711501192,89,"[5, 1, 1, 1, 44, 37]",64.34601666211542
6,"[0.837405808767977, 0.9945639375709951, 1.0576649506739855, 0.9198788948093847, 0.9423251081624955, 1.0528434175004164]",0.9472519174503298,27,"[22, 1, 1, 1, 1, 1]",24.1993952191094
6,"[0.6550894874004975, 0.7741784854878226, 0.5378485026730293, 0.5854014643263901, 0.8079182175247704, 0.6084318739015975]",0.6525767751052136,102,"[8, 1, 42, 28, 1, 22]",69.31914892539562
6,"[0.6847506919526543, 0.6869335385260996, 0.642205740986173, 0.6476286801740575, 0.696534065304681, 0.6977916232200563]",0.6179788556677516,90,"[13, 12, 25, 24, 8, 8]",64.78661804945106
6,"[0.7885129310659383, 0.7610464124908282, 0.8255053808711412, 0.8109296972487997, 0.84424153413923, 0.9993879786269775]",0.8345266867532154,52,"[16, 26, 1, 7, 1, 1]",43.055099881721944
6,"[0.6642670052139976, 0.7502119170886902, 0.6630340583340969, 0.7696642868500011, 0.5144890995368707, 0.6906976705440739]",0.6199050508161745,95,"[14, 1, 14, 1, 60, 5]",66.85188589821279
6,"[0.48888771147579546, 0.7207762654023232, 0.43268417443025853, 0.5961152851279172, 0.6675516341603919, 0.4984399039903432]",0.5145804017093467,118,"[33, 1, 46, 7, 1, 30]",72.84470220705784
6,"[0.9160271864157756, 0.7282741085315962, 0.9663899120766135, 1.0312941959565158, 0.9571787918501174, 1.037611298916039]",0.9355037720341228,47,"[1, 42, 1, 1, 1, 1]",39.55306050170174
