n_players,price,base_price,Q,Qs_per_player,eq_tput
6,"[0.3724360307425161, 0.33631073865094074, 0.3747972414296462, 0.46699625664617145, 0.5393289630236618, 0.43374683482927007]",0.41624925423617265,151,"[37, 48, 37, 9, 1, 19]",74.08093610024075
6,"[0.6826733476126291, 0.7495987495682995, 0.6792997986790477, 0.7013161204791218, 0.7579835704805619, 0.775402447559158]",0.7359514077154818,78,"[27, 3, 27, 19, 1, 1]",58.963177806093334
6,"[0.45414003647858486, 0.3512424151523269, 0.2859246602924538, 0.5593398388831587, 0.4678971250486953, 0.5229286935061435]",0.4435164978819076,144,"[17, 46, 65, 1, 14, 1]",74.04329261617967
6,"[0.5157211206219795, 0.479397573564847, 0.42758950171009324, 0.6191299728068309, 0.5047296789049716, 0.28232167341571957]",0.42885988311391376,136,"[9, 18, 30, 1, 11, 67]",73.94895668938173
6,"[0.5176694170135506, 0.29720063857029405, 0.34622879052510785, 0.3636733003608098, 0.4366547835298689, 0.5045749860118717]",0.4027001468375666,156,"[1, 59, 43, 38, 14, 1]",74.09932653708064
6,"[0.4313549940316779, 0.5546306970378724, 0.4602880314601755, 0.46914435907534224, 0.5778766977411052, 0.4861964017561487]",0.49765109435293686,127,"[37, 8, 30, 28, 1, 23]",73.64395957901691
6,"[0.34597283562954984, 0.2978990597427622, 0.4772406509960715, 0.4515877748951272, 0.3034208914237068, 0.5567165756677541]",0.37200082164972814,161,"[41, 58, 1, 5, 55, 1]",74.11488960897118
6,"[0.5845802237913709, 0.5307663065609164, 0.5423075453529479, 0.4815679432164489, 0.5322217681622764, 0.5132181885989912]",0.46291167064464206,120,"[7, 20, 18, 32, 19, 24]",73.08297246616952
6,"[0.5495912088560966, 0.5495909558036423, 0.5818369972367625, 0.5103143484895594, 0.508375853333154, 0.7761151394664408]",0.6487588385928444,115,"[21, 21, 12, 30, 30, 1]",72.40959873426823
6,"[0.9476752833550043, 0.9063583006585412, 1, 0.8195972146336907, 1, 1]",0.9729185102733433,30,"[1, 1, 1, 25, 1, 1]",26.63959352173462
6,"[0.2783327576825011, 0.2, 0.36615795050267497, 0.2, 0.28726097861446476, 0.2]",0.21586884087805025,242,"[24, 67, 1, 67, 16, 67]",74.26872339252202
6,"[0.33034527112726936, 0.5591788925395362, 0.4569454571328685, 0.42700727986255627, 0.4580544464508342, 0.25974340290426473]",0.3928716058937107,154,"[49, 1, 9, 19, 9, 67]",74.09243264906688
6,"[0.33770804354081846, 0.3585835135678548, 0.2210543208684804, 0.24297453562674132, 0.2, 0.28563577728244416]",0.2825676723995745,226,"[1, 1, 67, 60, 67, 30]",74.24709198802802
6,"[0.5419053411003462, 0.621630050575553, 0.7343234093441585, 0.5078568285686194, 0.5985039705086347, 0.5041438830001537]",0.6336767860925115,113,"[26, 6, 1, 34, 11, 35]",72.06406892637511
6,"[0.9475109825190103, 0.7171034150147275, 0.7272099511632807, 0.6580523774114969, 0.9199075747819044, 0.7553219944402556]",0.7411963820366567,75,"[1, 17, 14, 38, 1, 4]",57.340634260764766
6,"[0.2969247197201357, 0.2, 0.35630360985990794, 0.3749119478431697, 0.27150341710331555, 0.22135584302510286]",0.2475536702764205,214,"[31, 67, 1, 1, 47, 67]",74.22875559967413
6,"[0.2688195534907697, 0.2, 0.2, 0.2, 0.2947693539787339, 0.2564139851047198]",0.2323119365783522,255,"[21, 67, 67, 67, 1, 32]",74.28430793223185
6,"[0.6903009534451798, 0.730109127270081, 0.7349642931303645, 0.5345444599610362, 0.49812589258201245, 0.5135578931032326]",0.6130284730069526,110,"[1, 1, 1, 31, 41, 35]",71.45830903616707
6,"[0.7034198632573384, 0.6669429193733847, 0.5878103091613954, 0.6130478390430281, 0.39328574091670543, 0.47244736576739865]",0.5655794066061481,116,"[1, 1, 11, 5, 59, 39]",72.5654499674417
6,"[0.38884798537202186, 0.42813008370417727, 0.3241241264185998, 0.3811862005214295, 0.530418716067403, 0.4550615980221846]",0.4360122898118561,151,"[32, 21, 52, 34, 1, 11]",74.08093610024075
6,"[0.2848058413482374, 0.2, 0.34550339972996, 0.4955988116668827, 0.21345893213972483, 0.3259434216750463]",0.3560473016187918,207,"[44, 67, 9, 1, 67, 19]",74.21708231312431
6,"[0.9088053780377535, 0.9148182274568594, 1, 0.86723647134669, 0.823697838988191, 0.7358791312451506]",0.8619065830154053,48,"[1, 1, 1, 1, 6, 38]",40.264309942858716
6,"[0.5452127235275758, 0.4168517638987785, 0.5293942956716062, 0.4989195103552953, 0.45570987153107195, 0.35305369756754074]",0.40972327251012725,134,"[3, 35, 6, 14, 25, 51]",73.90684955757798
6,"[0.20302197521090876, 0.33892548709180326, 0.3186801158522437, 0.33986938090589813, 0.2, 0.2]",0.33003334919853633,218,"[67, 2, 14, 1, 67, 67]",74.23509100330865
6,"[0.4868199377438067, 0.6098768515775711, 0.42508493722992285, 0.546876548818034, 0.46910611776391103, 0.5199746531512204]",0.4742430348097144,125,"[26, 1, 41, 11, 29, 17]",73.52143185672183
6,"[0.8884285935064996, 0.7318669606243339, 0.9119080188338117, 0.9254569420599086, 0.8978878976906134, 0.9043600151960733]",0.8769639040384527,47,"[1, 42, 1, 1, 1, 1]",39.55306050170174
6,"[0.3975764893893583, 0.43401811240621146, 0.48917343522789575, 0.4391049831502533, 0.4739435186507378, 0.6346593279670052]",0.5335758077409136,135,"[39, 30, 16, 29, 20, 1]",73.9292301407136
6,"[0.4978112095272661, 0.7656588042829606, 0.6393252339101558, 0.7528282874319315, 0.6957730258214939, 0.7613978900407762]",0.6429920849558828,94,"[66, 1, 21, 1, 4, 1]",66.45789309314367
6,"[0.870040871706695, 0.8283660792849362, 0.7233898906806608, 0.9433049117212823, 0.854411654207749, 0.7528057626614642]",0.8561725276884371,59,"[1, 1, 33, 1, 1, 22]",47.727603263210426
6,"[0.756317611848293, 0.7955571733841686, 0.9481817236151082, 0.8615806009063005, 0.8165067100520345, 0.9212795281250776]",0.8344344531372097,51,"[29, 13, 1, 1, 6, 1]",42.36556097892518
6,"[0.5320740610850558, 0.8311674978976645, 0.8013260897593499, 0.6413194272680216, 0.7618629024120596, 0.824911664467197]",0.7196324032096835,90,"[60, 1, 1, 26, 1, 1]",64.78661804945106
6,"[0.7839895793242515, 0.7632856940411975, 0.8291491763187482, 0.6870006870292958, 0.706370434317077, 0.6870002112453786]",0.7211570582628009,77,"[1, 1, 1, 27, 20, 27]",58.42916241823073
6,"[0.2, 0.2157839720048076, 0.2, 0.2625149957476517, 0.2, 0.4954423263152176]",0.258479097760237,272,"[67, 58, 67, 12, 67, 1]",74.30244817836913
6,"[0.24615793057267446, 0.38344424554834283, 0.24260012220139993, 0.32958405729090295, 0.2, 0.36594338400376347]",0.3515897006585335,212,"[64, 1, 66, 13, 67, 1]",74.2254986667589
6,"[0.48799099183857936, 0.3388003350718424, 0.4874440988764235, 0.5801855606031974, 0.448208652409257, 0.5839865821677949]",0.5278626893405792,130,"[21, 57, 20, 1, 30, 1]",73.78356388566553
6,"[0.681870785422906, 0.8221699982944866, 0.7431378346732165, 0.7427154850096707, 0.7589091300972362, 0.8474864702213748]",0.6783069814146669,71,"[35, 1, 13, 13, 8, 1]",55.08445106052047
6,"[0.31146270583733326, 0.4466473600409554, 0.5177590307743046, 0.6500571963426882, 0.6148838581891429, 0.5132332056616645]",0.5266541989081213,129,"[65, 32, 15, 1, 1, 15]",73.74227030986277
6,"[0.3723504699531866, 0.4444641757240981, 0.2334212767078312, 0.3674447348449622, 0.3710199239232534, 0.2]",0.30741658233358793,184,"[15, 1, 67, 18, 16, 67]",74.17250663908277
6,"[0.6615180856421721, 0.5186501962287787, 0.6049819578361367, 0.6349968833631161, 0.5862600051910545, 0.6195137021274416]",0.5380489633433967,106,"[2, 41, 18, 10, 22, 13]",70.48350640904108
6,"[0.6469276132690039, 0.6405285843426565, 0.7658924977339833, 0.5183619860180448, 0.7732615860259505, 0.6007767755971246]",0.725109515074285,101,"[12, 14, 1, 49, 1, 24]",68.99927027150068
6,"[0.2719122579929321, 0.3747975957791466, 0.2, 0.4422587463779169, 0.3769400706123658, 0.2]",0.3365403038330702,196,"[56, 3, 67, 1, 2, 67]",74.19706247511672
6,"[0.6136081911201282, 0.6730198771758249, 0.7290926505129439, 0.6308187840778094, 0.6701378231409373, 0.6560262352665583]",0.6488154921833995,94,"[30, 11, 1, 24, 12, 16]",66.45789309314367
6,"[0.6308969095372748, 0.7130772762270802, 0.5439702842741193, 0.4703041135326782, 0.5162781863428555, 0.5446152499204717]",0.5875490450017002,115,"[1, 1, 23, 41, 28, 21]",72.40959873426823
6,"[1, 0.8330355466577313, 1, 1, 1, 0.7320235620994298]",0.9387897228507176,48,"[1, 4, 1, 1, 1, 40]",40.264309942858716
6,"[0.9120795673384375, 0.894079700150707, 0.8641862931376515, 0.8731316565673942, 1, 0.9196175462834106]",0.9198853992034783,27,"[1, 2, 13, 9, 1, 1]",24.1993952191094
6,"[0.7599558977405545, 1, 0.9140895802576047, 0.7110820544600566, 0.9297586243212177, 0.9276973714818024]",0.8718434254262426,59,"[19, 1, 1, 36, 1, 1]",47.727603263210426
6,"[0.5867762294279448, 0.6499840152689554, 0.6560069021227074, 0.5949928436418076, 0.5219951120124929, 0.40814041269507334]",0.54360687863817,113,"[13, 1, 1, 11, 29, 58]",72.06406892637511
6,"[0.4088176194734296, 0.4385891774650571, 0.6709836030799726, 0.7425392719980103, 0.3983433116625511, 0.5630126426661377]",0.5040137545927985,128,"[42, 35, 1, 1, 44, 5]",73.69589516204051
6,"[0.23598493756427313, 0.2, 0.2755721390324973, 0.24050950186877404, 0.49936108138959157, 0.2673649349052173]",0.26029602776123595,240,"[58, 67, 27, 54, 1, 33]",74.26617654147462
6,"[0.2, 0.2, 0.24127789858025364, 0.2934105645992685, 0.2, 0.20534646770841186]",0.22822003371568433,285,"[67, 67, 22, 1, 67, 61]",74.31486503134013
6,"[0.6800437467192458, 0.5936537244954431, 0.635776176922019, 0.6385548271848757, 0.7110551858438582, 0.6549235033389842]",0.6077082194726264,96,"[8, 34, 20, 19, 1, 14]",67.23592070300712
6,"[0.5353638551962656, 0.4412047226296808, 0.2, 0.28500815587387196, 0.3302730618511635, 0.4515935859217449]",0.3885136537537246,171,"[1, 1, 67, 59, 42, 1]",74.1420099330768
6,"[0.6978185155578347, 0.6778278874310186, 0.7340526966631421, 0.899658916273565, 0.8189132068774302, 0.818583160928079]",0.7722234919279916,74,"[26, 33, 12, 1, 1, 1]",56.78633473644782
6,"[0.8252362020777715, 0.7268617433805622, 0.7207690550058126, 0.7574677667038668, 0.7459556453356888, 0.7348464447205941]",0.8161434069486422,72,"[1, 18, 20, 7, 11, 15]",55.65815371910459
6,"[0.32688993652816134, 0.2, 0.2, 0.2454302502326113, 0.21596186853982366, 0.33307215357885245]",0.20766104893524534,248,"[1, 67, 67, 45, 67, 1]",74.27611846604513
6,"[0.9245372934779755, 1, 1, 0.9638918629554958, 0.9018314263563486, 0.9018623389917764]",0.9853869063470557,18,"[1, 1, 1, 1, 7, 7]",16.5848049886468
6,"[0.8363952970145492, 0.8048357429878525, 0.690924050359216, 0.6353547131570821, 0.9257149275038767, 0.7258423670115393]",0.8384544710925981,79,"[1, 1, 23, 42, 1, 11]",59.49020824394932
6,"[0.8110703988131971, 0.7719324917755899, 0.7589891132890372, 0.7912605816118524, 0.7392327357865724, 0.6910865664582898]",0.7269523061275174,68,"[1, 5, 10, 1, 17, 34]",53.32585891343065
6,"[0.9096865382497414, 0.7653445195228363, 0.7491274793960948, 0.7555397137046009, 0.6361549996743563, 0.5443566066863221]",0.8004209346987525,90,"[1, 1, 1, 1, 28, 58]",64.78661804945106
6,"[1, 0.7755732042716601, 0.773353619971995, 0.9430176524592356, 0.9354451282470201, 0.7156019526580251]",0.8172875962548078,61,"[1, 12, 13, 1, 1, 33]",49.012232590842586
6,"[0.32881425975179895, 0.2, 0.2684980568547554, 0.4145130633774092, 0.2, 0.3189374195456335]",0.3341833411449538,214,"[12, 67, 49, 1, 67, 18]",74.22875559967413
6,"[0.8224110689361653, 0.6245666010648564, 0.5734267359438776, 0.7890096255754198, 0.6453418678824397, 0.6694408782027426]",0.7145540552826879,96,"[1, 25, 40, 1, 18, 11]",67.23592070300712
6,"[0.3486179064270523, 0.2, 0.4246255833176023, 0.3226280032935675, 0.31826035826941734, 0.3464910102987779]",0.3335352653104898,187,"[23, 67, 1, 35, 37, 24]",74.17893975533195
6,"[0.6129289891973224, 0.5604561224924836, 0.5322155906689192, 0.4381236397795826, 0.5614533646063761, 0.5535412460882706]",0.5881748120393772,117,"[3, 15, 22, 45, 15, 17]",72.71037939024662
6,"[0.2405792898131536, 0.32044813203105177, 0.2, 0.2, 0.2, 0.34713570138038063]",0.2174459443695006,251,"[48, 1, 67, 67, 67, 1]",74.27968394792234
6,"[0.9496309348752763, 0.80026660363702, 0.8550761956974469, 0.845670384080145, 0.713468487079389, 0.5878227255478845]",0.8627238301557296,78,"[1, 1, 1, 1, 15, 59]",58.963177806093334
6,"[0.6828432414508816, 0.6679640477489436, 0.6254260270941421, 0.44591826171681503, 0.6661912283340674, 0.8250485943408574]",0.580981511784759,100,"[2, 6, 18, 67, 6, 1]",68.66820149058373
6,"[0.8588440785948619, 0.9203022644732426, 1, 0.7646536304365685, 0.8988998372450546, 0.7915448475012422]",0.8736467327653856,49,"[1, 1, 1, 28, 1, 17]",40.970151474173235
6,"[0.2, 0.28629952651123525, 0.2, 0.43304330923486967, 0.2, 0.3487265674156357]",0.25602816822290975,230,"[67, 27, 67, 1, 67, 1]",74.25278076648415
6,"[0.7058736659985222, 0.6657663251460264, 0.7275999104989489, 0.8813489483812279, 0.6613520809757012, 0.7858096958327614]",0.751279528172881,82,"[15, 28, 7, 1, 30, 1]",61.02813222480192
6,"[0.40626789705838906, 0.2, 0.4563176915660761, 0.3673768346841131, 0.36489157266870664, 0.30549047182982764]",0.3389154409074824,175,"[9, 67, 1, 24, 25, 49]",74.15188361221469
6,"[1, 0.7537571879311329, 0.6974005687856628, 0.8003156788013447, 1, 0.899755531864669]",0.871936228162314,62,"[1, 19, 39, 1, 1, 1]",49.64598725592317
6,"[0.2, 0.2979961900122258, 0.2, 0.2, 0.2093411666641398, 0.2]",0.20610665634722525,295,"[61, 1, 61, 61, 50, 61]",74.32367428513712
6,"[0.7607625444500759, 0.9778228531327564, 0.7140059729494846, 0.8919767778802962, 0.918403393362314, 0.5385285453482959]",0.8411350985811348,82,"[1, 1, 11, 1, 1, 67]",61.02813222480192
