,station,0
215,215,0.006975321037279622
216,216,0.002292469101071201
217,217,0.0037781482518388938
218,218,0.007348313496130422
219,219,0.005365280434858708
220,220,0.0025859567260044067
221,221,0.0
222,222,0.0033953842807562464
223,223,0.003958885751975738
224,224,0.007168478281803764
225,225,0.005915604775196654
226,226,0.005477907253374504
227,227,0.004074500049022717
228,228,0.0035424884302823864
229,229,0.002282323971341287
230,230,0.005476568594791412
231,231,0.0055414324971416054
232,232,0.0036467438358554283
233,233,0.0015552227109795439
234,234,0.002840318433015403
235,235,0.002556983751810044
236,236,0.005773849983504336
237,237,0.003788347770881551
238,238,0.0030258160920300686
239,239,0.005584632231862815
240,240,1.855563340701067e-05
241,241,0.002148637669018998
242,242,0.0
243,243,0.005397365927161714
244,244,0.00124915200350223
245,245,0.004243267906561834
