output_id,n_classes,price,min_acc,max_acc,social_optimum_index,soc_stability,soc_anarchy,soc_optimum
4625,2,0.21759202381104348,30,30,18,30.0377212856687,30.0377212856687,31.931260571401218
4626,4,0.22919132286600807,60,60,25,37.76503262803951,37.76503262803951,44.11395992834981
4627,4,1.7994507376895603,16,16,9,9.334953196967035,9.334953196967035,15.23689436079396
4628,3,3.324984665981951,7,7,4,3.127434338126342,3.127434338126342,4.479907336072195
4629,2,2.3458240312818246,10,10,7,16.922002687181752,16.922002687181752,19.013326781027228
4630,3,0.8124731632057713,33,33,13,14.582959614209543,14.582959614209543,28.278423878324972
4631,3,1.0916410471296296,36,36,16,18.936124303333337,18.936124303333337,32.024498245925926
4632,4,0.16168803373597052,60,60,40,58.094726975841766,58.094726975841766,61.328487650561186
4633,4,1.8955934778361199,15,15,8,4.704415832458199,4.704415832458199,8.13761517731104
4634,2,1.0011598658470255,30,30,21,37.89068902458923,37.89068902458923,41.06515981721247
4635,3,3.632243847034136,11,11,7,7.566634682624503,7.566634682624503,11.445628070761051
4636,3,3.155355322467141,8,8,5,4.420706420262871,4.420706420262871,6.474742387664292
4637,3,3.6911012624845863,4,4,3,0.8975299500616547,0.8975299500616547,1.3071382125462425
4638,3,2.0084778867449837,22,22,13,15.788607491610364,15.788607491610364,22.648047472315216
4639,3,0.8067467356748642,34,34,14,13.562066987054614,13.562066987054617,24.88263570055191
4640,3,0.33963647855527024,45,45,24,38.104806465012835,38.104806465012835,43.18459651467352
4641,2,4.1921306387774795,8,8,6,10.942631889780166,10.942631889780166,11.96140516733513
4642,4,0.7506137586907652,60,60,28,47.43757347855409,47.43757347855409,66.00726475665859
4643,2,0.7284249474968973,30,30,20,44.306306575093075,44.306306575093075,47.717160050062056
4644,3,1.9565267265621356,27,27,14,21.69865238282234,21.69865238282234,33.91118182813011
4645,3,1.2517950281932615,33,33,14,17.18860706962237,17.18860706962237,31.63856760529434
4646,4,1.8002356502547745,24,24,11,12.165025393885408,12.165025393885408,26.233019847197486
4647,3,2.7089017973167246,12,12,8,10.456337432199298,10.456337432199298,14.300283621466201
4648,3,1.1259438638641572,42,42,16,22.205104717705403,22.205104717705403,47.41892017817349
4649,4,2.5702100799858756,15,15,8,8.93049380021187,8.93049380021187,17.786579360113002
4650,3,3.8926877154633575,3,3,3,1.3404148536099267,1.3404148536099267,1.3404148536099276
4651,4,3.780263088399325,8,8,5,5.8893262928054,5.8893262928054,8.209759558003373
4652,2,3.481660865235758,10,10,8,11.788312347642417,11.788312347642417,12.922077078113944
4654,3,1.2744791633720287,27,27,14,14.492348588955231,14.492348588955231,22.157099712791606
4655,2,1.3304178505705022,16,16,10,14.694486390871965,14.694486390871965,17.35520449429498
4656,3,0.25478279745273,45,45,34,59.333515114627154,59.333515114627154,61.00328088660719
